root_id,nt_type,flow,super_class,class,sub_class,cell_type,hemilineage,nerve,side,input_synapses,output_synapses,Syn
720575940607155890,acetylcholine,intrinsic,central,MBON,,MBON26,putative_primary,,right,7656,15196,83
720575940653480438,gaba,intrinsic,central,,,CRE100,putative_primary,,right,2855,10079,53
720575940620464321,glutamate,intrinsic,central,MBON,,MBON04,putative_primary,,left,10169,16845,47
720575940620317564,glutamate,intrinsic,central,CX,tangential,"FB4P,FB4Q,FB4R",AOTUv4_ventral,,right,580,2051,43
720575940621164720,acetylcholine,intrinsic,central,MBON,,MBON05,putative_primary,,left,13153,10587,41
720575940621766938,acetylcholine,intrinsic,central,,,LAL159,putative_primary,,right,4925,8096,34
720575940626654041,acetylcholine,intrinsic,central,,,LAL185,DM5_ventral,,right,1748,2693,33
720575940637098352,gaba,intrinsic,central,LHCENT,,LHCENT3,primary,,right,7636,23289,32
720575940611344078,gaba,intrinsic,central,MBON,,MBON20,putative_primary,,right,2423,17063,27
720575940622719770,gaba,intrinsic,central,,,mALD1,CREa1_ventral,,left,3057,25529,19
720575940644849431,glutamate,intrinsic,central,,,SMP075,putative_primary,,right,878,3167,17
720575940629592143,acetylcholine,intrinsic,central,,,LAL185,DM5_ventral,,right,1005,3029,17
720575940619814997,glutamate,intrinsic,central,,,SMP075,putative_primary,,right,922,3542,15
720575940629112579,glutamate,intrinsic,central,CX,tangential,FB4C,LALv1_dorsal,,right,1467,1496,15
720575940623120222,gaba,intrinsic,central,,,LAL100,putative_primary,,right,1973,5150,15
720575940636343147,acetylcholine,intrinsic,central,LHCENT,,LHCENT11,primary,,right,1706,15857,14
720575940623817223,glutamate,intrinsic,central,,,VES047,putative_primary,,right,3173,5769,14
720575940618249797,acetylcholine,intrinsic,central,MBON,,MBON27,putative_primary,,right,4221,6591,13
720575940614428319,acetylcholine,intrinsic,central,,,LAL169,putative_primary,,right,2829,4250,13
720575940625886666,acetylcholine,intrinsic,central,,,CRE081,DM1_antero_dorsal,,right,497,2311,13
720575940618295376,glutamate,intrinsic,central,CX,tangential,"FB4P,FB4Q,FB4R",AOTUv4_ventral,,right,687,2524,12
720575940617691170,dopamine,intrinsic,central,DAN,,PPL101,putative_primary,,right,10378,3507,12
720575940629981440,acetylcholine,intrinsic,central,MBON,,MBON26,putative_primary,,left,6486,12537,12
720575940627653502,glutamate,intrinsic,central,CX,tangential,"FB4P,FB4Q,FB4R",AOTUv4_ventral,,right,280,1692,11
720575940631449411,gaba,intrinsic,central,CX,tangential,"FB4A,FB4D,FB4E,FB4F,FB4G,FB4H,FB4I,FB4J",LALv1_dorsal,,right,2007,5543,11
720575940625990500,acetylcholine,intrinsic,central,,,SMP586,putative_primary,,right,1692,9775,10
