root_id,nt_type,flow,super_class,class,sub_class,cell_type,hemilineage,nerve,side,input_synapses,output_synapses,Syn
720575940607155890,,,,,,,,,,9471,19927,106
720575940653480438,,,,,,,,,,0,0,105
720575940620317564,,,,,,,,,,917,0,75
720575940620464321,,,,,,,,,,12954,0,65
720575940626654041,,,,,,,,,,0,0,64
720575940621766938,,,,,,,,,,0,0,53
720575940637098352,,,,,,,,,,0,0,47
720575940611344078,,,,,,,,,,3510,21310,45
720575940644849431,,,,,,,,,,0,0,29
720575940622719770,,,,,,,,,,0,0,28
720575940649591673,,,,,,,,,,0,0,27
720575940629981440,,,,,,,,,,0,0,26
720575940636489140,,,,,,,,,,0,0,21
720575940617691170,,,,,,,,,,14206,0,21
720575940618249797,,,,,,,,,,5837,0,20
720575940619637056,,,,,,,,,,3604,0,20
720575940629592143,,,,,,,,,,0,0,20
720575940627653502,,,,,,,,,,0,0,20
720575940623817223,,,,,,,,,,0,0,20
720575940636343147,,,,,,,,,,0,0,20
720575940617071372,,,,,,,,,,3369,0,18
720575940619814997,,,,,,,,,,1393,0,18
720575940618295376,,,,,,,,,,1066,0,18
720575940629112579,,,,,,,,,,0,0,17
720575940620715224,,,,,,,,,,3671,0,17
720575940614428319,,,,,,,,,,3671,5037,17
720575940629428695,,,,,,,,,,0,0,17
720575940629760567,,,,,,,,,,0,0,17
720575940631449411,,,,,,,,,,0,0,16
720575940623120222,,,,,,,,,,0,0,16
720575940617532089,,,,,,,,,,4022,0,16
720575940625886666,,,,,,,,,,0,0,15
720575940611738035,,,,,,,,,,4231,17557,15
720575940620903518,,,,,,,,,,1043,0,15
720575940628137222,,,,,,,,,,0,0,14
720575940612488142,,,,,,,,,,4290,9927,13
720575940625990500,,,,,,,,,,0,0,13
720575940606198473,,,,,,,,,,819,3167,13
720575940610051733,,,,,,,,,,958,2815,12
720575940633117580,,,,,,,,,,0,0,12
720575940610181496,,,,,,,,,,450,444,11
720575940629897260,,,,,,,,,,0,0,10
720575940643863496,,,,,,,,,,0,0,10
720575940614506663,,,,,,,,,,3883,17377,10
720575940612953714,,,,,,,,,,1619,2135,9
720575940629332730,,,,,,,,,,0,0,9
720575940615833055,,,,,,,,,,4088,0,9
720575940625680784,,,,,,,,,,0,0,9
720575940621569006,,,,,,,,,,0,0,8
720575940633145903,,,,,,,,,,0,0,8
720575940620959081,,,,,,,,,,12,0,8
720575940614677810,,,,,,,,,,535,495,8
720575940633541857,,,,,,,,,,0,0,8
720575940633338449,,,,,,,,,,0,0,8
720575940615750562,,,,,,,,,,2165,0,8
720575940624169255,,,,,,,,,,0,0,7
720575940605932523,,,,,,,,,,7,0,7
720575940630202267,,,,,,,,,,0,0,7
720575940625663269,,,,,,,,,,0,0,7
720575940625369096,,,,,,,,,,0,0,7
720575940638886307,,,,,,,,,,0,0,7
720575940621312773,,,,,,,,,,1912,0,7
720575940634057884,,,,,,,,,,0,0,7
720575940628093309,,,,,,,,,,0,0,7
720575940643309197,,,,,,,,,,0,0,7
720575940612574253,,,,,,,,,,33,25,7
720575940621527145,,,,,,,,,,0,0,6
720575940617955099,,,,,,,,,,4438,0,6
720575940515855739,,,,,,,,,,6,0,6
720575940614587615,,,,,,,,,,1387,6135,6
720575940635022703,,,,,,,,,,0,0,6
720575940615921803,,,,,,,,,,766,0,6
720575940645829764,,,,,,,,,,0,0,6
720575940620830057,,,,,,,,,,10,0,6
720575940624176107,,,,,,,,,,0,0,6
720575940643234760,,,,,,,,,,0,0,6
720575940607249365,,,,,,,,,,758,3270,6
720575940636134366,,,,,,,,,,0,0,6
720575940616117794,,,,,,,,,,164,0,6
720575940640770957,,,,,,,,,,0,0,6
720575940608663253,,,,,,,,,,704,3593,6
720575940625800852,,,,,,,,,,0,0,6
720575940625929971,,,,,,,,,,0,0,5
720575940627357969,,,,,,,,,,0,0,5
720575940623225848,,,,,,,,,,0,0,5
720575940626243810,,,,,,,,,,0,0,5
720575940575467715,,,,,,,,,,5,0,5
720575940612325147,,,,,,,,,,9,1,5
720575940621894993,,,,,,,,,,0,0,5
720575940634640023,,,,,,,,,,0,0,5
720575940626316606,,,,,,,,,,0,0,5
720575940636318350,,,,,,,,,,0,0,5
