root_id,nt_type,flow,super_class,class,sub_class,cell_type,hemilineage,nerve,side,input_synapses,output_synapses,Syn
720575940630864847,gaba,intrinsic,central,MBON,,MBON09,putative_primary,,right,8656,8056,141
720575940610964946,gaba,intrinsic,central,MBON,,MBON09,putative_primary,,right,8806,8878,137
720575940629592143,acetylcholine,intrinsic,central,,,LAL185,DM5_ventral,,right,1005,3029,54
720575940639939712,acetylcholine,intrinsic,central,,,LHPV7c1,putative_primary,,right,1500,4839,44
720575940631154396,acetylcholine,intrinsic,central,,,LHPV7c1,putative_primary,,right,1482,4864,41
720575940629925675,glutamate,intrinsic,central,,,CRE030,SMPad3,,right,266,1680,34
720575940629856515,gaba,intrinsic,central,MBON,,MBON09,putative_primary,,left,9652,8627,26
720575940629422086,gaba,intrinsic,central,MBON,,MBON09,putative_primary,,left,9582,8693,23
720575940621164720,acetylcholine,intrinsic,central,MBON,,MBON05,putative_primary,,left,13153,10587,20
720575940626654041,acetylcholine,intrinsic,central,,,LAL185,DM5_ventral,,right,1748,2693,20
720575940629242428,gaba,intrinsic,central,,,SMP079,SMPad2,,right,1771,3160,18
720575940623045267,glutamate,intrinsic,central,,,CRE030,SMPad3,,right,245,1641,16
720575940630966840,dopamine,intrinsic,central,Kenyon_Cell,KCg,KCg-m,MBp2,,right,226,346,14
720575940606892674,dopamine,intrinsic,central,Kenyon_Cell,KCg,KCg-s2,MBp4,,right,384,864,13
720575940631853615,gaba,intrinsic,central,,,SMP079,SMPad2,,right,1993,3437,12
720575940612857878,dopamine,intrinsic,central,DAN,,PAM08,CREa2_medial,,right,513,514,11
720575940613583001,gaba,intrinsic,central,MBIN,,APL,putative_primary,,right,66711,93696,10
720575940642733216,dopamine,intrinsic,central,DAN,,PAM08,CREa1_dorsal,,right,427,666,9
720575940631957933,glutamate,intrinsic,central,,,CB1062,SMPad3,,right,209,1429,8
720575940640646864,dopamine,intrinsic,central,Kenyon_Cell,KCg,KCg-m,MBp3,,right,251,273,8
720575940625934094,dopamine,intrinsic,central,MBIN,,DPM,putative_primary,,right,43022,9165,8
720575940605702176,glutamate,intrinsic,central,,,CB0531,putative_primary,,right,1645,3775,7
720575940617834560,dopamine,intrinsic,central,Kenyon_Cell,KCg,KCg-m,MBp4,,right,182,253,6
720575940620020534,acetylcholine,intrinsic,central,,,LAL198,putative_primary,,right,1225,4768,6
720575940643950190,dopamine,intrinsic,central,DAN,,PAM07,CREa1_dorsal,,right,251,272,6
720575940644747828,dopamine,intrinsic,central,DAN,,PAM08,CREa2_medial,,right,558,415,6
720575940627194501,dopamine,intrinsic,central,DAN,,PAM07,CREa2_medial,,right,334,306,6
720575940630076887,dopamine,intrinsic,central,DAN,,PAM08,CREa2_medial,,right,207,333,6
720575940605664446,dopamine,intrinsic,central,Kenyon_Cell,KCg,KCg-m,MBp4,,right,102,166,6
720575940622894349,dopamine,intrinsic,central,Kenyon_Cell,KCg,KCg-m,MBp1,,right,180,264,6
720575940623748615,acetylcholine,intrinsic,central,,,CRE024,putative_primary,,right,2135,7842,6
720575940633996911,dopamine,intrinsic,central,Kenyon_Cell,KCg,KCg-m,MBp4,,right,235,267,6
720575940633580024,dopamine,intrinsic,central,Kenyon_Cell,KCg,KCg-m,MBp1,,right,202,234,6
720575940606399068,dopamine,intrinsic,central,Kenyon_Cell,KCg,KCg-m,MBp3,,right,221,228,6
720575940637949161,dopamine,intrinsic,central,Kenyon_Cell,KCg,KCg-m,MBp1,,right,233,307,6
720575940631576903,dopamine,intrinsic,central,DAN,,PAM07,CREa1_dorsal,,right,347,269,6
720575940614991221,dopamine,intrinsic,central,DAN,,PAM08,CREa2_medial,,left,480,525,5
720575940616964766,dopamine,intrinsic,central,Kenyon_Cell,KCg,KCg-m,MBp4,,right,144,209,5
720575940624629223,dopamine,intrinsic,central,DAN,,PAM07,CREa1_dorsal,,left,507,368,5
720575940622558941,dopamine,intrinsic,central,Kenyon_Cell,KCg,KCg-m,MBp3,,right,174,198,5
720575940619828359,dopamine,intrinsic,central,Kenyon_Cell,KCg,KCg-m,MBp4,,right,190,229,5
720575940648276089,dopamine,intrinsic,central,Kenyon_Cell,KCg,KCg-m,MBp3,,right,188,229,5
720575940622338269,dopamine,intrinsic,central,DAN,,PAM08,CREa1_dorsal,,right,607,669,5
720575940627680516,dopamine,intrinsic,central,DAN,,PAM07,CREa1_dorsal,,left,459,338,5
720575940619369198,dopamine,intrinsic,central,Kenyon_Cell,KCg,KCg-m,MBp1,,right,189,181,5
720575940614981087,dopamine,intrinsic,central,Kenyon_Cell,KCg,KCg-m,MBp3,,right,157,184,5
720575940617176413,dopamine,intrinsic,central,Kenyon_Cell,KCg,KCg-m,MBp1,,right,154,298,5
720575940621688414,glutamate,intrinsic,central,,,SMP165,putative_primary,,left,555,2769,5
720575940616723549,dopamine,intrinsic,central,Kenyon_Cell,KCg,KCg-m,MBp2,,right,208,211,5
720575940614008785,dopamine,intrinsic,central,Kenyon_Cell,KCg,KCg-m,MBp4,,right,182,210,5
720575940608071435,dopamine,intrinsic,central,DAN,,PAM08,CREa2_medial,,right,668,319,5
720575940608386315,dopamine,intrinsic,central,Kenyon_Cell,KCg,KCg-m,MBp1,,right,211,203,5
720575940607930716,dopamine,intrinsic,central,Kenyon_Cell,KCg,KCg-m,MBp4,,right,169,180,5
720575940623914954,dopamine,intrinsic,central,Kenyon_Cell,KCg,KCg-m,MBp4,,right,201,232,5
720575940625497488,dopamine,intrinsic,central,Kenyon_Cell,KCg,KCg-m,MBp4,,right,230,268,5
720575940608524483,dopamine,intrinsic,central,Kenyon_Cell,KCg,KCg-m,MBp1,,right,208,245,5
720575940610430254,dopamine,intrinsic,central,DAN,,PAM07,CREa1_dorsal,,right,357,292,5
720575940629202391,acetylcholine,intrinsic,central,,,"CRE060,CRE067",CREl1,,left,121,1694,5
720575940621290017,dopamine,intrinsic,central,Kenyon_Cell,KCg,KCg-m,MBp3,,right,177,257,5
720575940630500293,dopamine,intrinsic,central,DAN,,PAM08,CREa1_dorsal,,left,674,342,5
720575940612607953,dopamine,intrinsic,central,Kenyon_Cell,KCg,KCg-m,MBp4,,right,195,280,4
720575940627595848,dopamine,intrinsic,central,Kenyon_Cell,KCg,KCg-m,MBp1,,right,176,216,4
720575940626316802,dopamine,intrinsic,central,Kenyon_Cell,KCg,KCg-m,MBp1,,right,171,205,4
720575940617901569,glutamate,intrinsic,central,,,CRE107,putative_primary,,left,1814,7894,4
720575940639846488,dopamine,intrinsic,central,Kenyon_Cell,KCg,KCg-m,MBp2,,right,173,198,4
720575940630312785,dopamine,intrinsic,central,Kenyon_Cell,KCg,KCg-m,MBp4,,right,209,177,4
720575940639056061,dopamine,intrinsic,central,Kenyon_Cell,KCg,KCg-m,MBp4,,right,217,253,4
720575940615927197,dopamine,intrinsic,central,Kenyon_Cell,KCg,KCg-m,MBp1,,right,215,223,4
720575940620344837,dopamine,intrinsic,central,Kenyon_Cell,KCg,KCg-m,MBp2,,right,207,252,4
720575940639534451,dopamine,intrinsic,central,Kenyon_Cell,KCg,KCg-m,MBp4,,right,159,255,4
720575940610569028,dopamine,intrinsic,central,DAN,,PAM08,CREa1_dorsal,,left,743,482,4
720575940621709132,dopamine,intrinsic,central,Kenyon_Cell,KCg,KCg-m,MBp3,,right,168,171,4
720575940606477660,dopamine,intrinsic,central,Kenyon_Cell,KCg,KCg-m,MBp2,,right,156,169,4
720575940619838518,gaba,intrinsic,central,,,CRE043,AOTUv1_medial,,right,518,2075,4
720575940624428019,dopamine,intrinsic,central,Kenyon_Cell,KCg,KCg-m,MBp3,,right,197,199,4
720575940618008859,glutamate,intrinsic,central,MBON,,MBON30,putative_primary,,left,5881,9780,4
720575940630868013,dopamine,intrinsic,central,Kenyon_Cell,KCg,KCg-m,MBp2,,right,171,166,4
720575940626400019,glutamate,intrinsic,central,,,CB1062,SMPad3,,right,181,1215,4
720575940646582836,dopamine,intrinsic,central,DAN,,PAM08,CREa1_dorsal,,right,315,206,4
720575940646602372,dopamine,intrinsic,central,Kenyon_Cell,KCg,KCg-m,MBp2,,right,189,188,4
720575940647165828,dopamine,intrinsic,central,DAN,,PAM07,CREa2_medial,,right,300,320,4
720575940631024682,dopamine,intrinsic,central,Kenyon_Cell,KCg,KCg-m,MBp4,,right,188,187,4
